Quartal,ZWEX,See,Regio,Land
2025Q3,246.68,272.48,236.46,217.25
2025Q2,245.59,272.14,234.98,215.8
2025Q1,243.19,268.41,233.83,213.08
2024Q4,239.84,264.83,230.74,209.75
2024Q3,236.93,257.95,229.55,209.7
2024Q2,236.21,260.81,225.3,211.06
2024Q1,229.62,258.88,213.81,208.81
2023Q4,232.09,258.73,219.14,208.83
2023Q3,228.4,253.59,216.31,205.58
2023Q2,228.72,258.16,214.52,203.97
2023Q1,227.52,248.54,219.54,203.87
2022Q4,223.75,247.66,212.72,201.55
2022Q3,222.86,243.7,215.22,199.42
2022Q2,221.56,241.93,216.65,193.99
2022Q1,215.55,235.24,208.32,193.28
2021Q4,211.73,230.97,203.39,192.25
2021Q3,206.54,223.62,198.82,189.21
2021Q2,201.07,214.72,195.72,184.82
2021Q1,195.46,207.23,192.48,177.87
2020Q4,193.74,207.48,187.76,178.59
2020Q3,193.26,209.73,185.77,176.63
2020Q2,190.52,205.34,183.67,175.48
2020Q1,188.5,199.58,183.9,175.64
2019Q4,185.9,197.37,182.28,170.46
2019Q3,183.64,196.04,179.87,166.84
2019Q2,181.81,192.55,178.22,167.87
2019Q1,180.78,190.92,175.94,170.89
2018Q4,180.05,191.89,174.55,168.01
2018Q3,179.8,190.51,175.38,167.79
2018Q2,178.79,187.84,176.08,166.57
2018Q1,177.73,189.13,172.56,166.22
2017Q4,173.69,185.27,168.5,161.92
2017Q3,174.34,183.6,171.3,162.62
2017Q2,172,179.67,171.49,158.3
2017Q1,167.92,176.4,164.63,158.13
2016Q4,165.53,172.22,162.97,157.46
2016Q3,163.02,173.34,158.35,153.06
2016Q2,161.21,168.62,158.89,151.61
2016Q1,156.62,165.22,153.52,146.4
2015Q4,157.37,166.96,153.6,146.51
2015Q3,155.76,164.78,151.99,146.09
2015Q2,154.76,162.64,153.72,141.78
2015Q1,152.39,162.14,149.04,140.71
2014Q4,153.38,162.16,150.23,143.19
2014Q3,152.75,163.92,147.55,142.77
2014Q2,152.5,165.3,146.41,141.21
2014Q1,153.31,164.84,149.89,138.51
2013Q4,149.15,160.29,144.79,137.52
2013Q3,149.32,161.24,143.58,139.18
2013Q2,147.04,157.86,142.62,136.02
2013Q1,144.46,153.92,141.05,133.82
2012Q4,144.41,156.32,139.19,133.18
2012Q3,144.03,154.86,140.11,131.76
2012Q2,138.51,148.78,133.57,129.62
2012Q1,137.34,147.73,132.45,128.16
2011Q4,134.72,144.71,129.23,127.44
2011Q3,134.44,142.9,130.33,126.75
2011Q2,131.84,139.07,129.24,123.14
2011Q1,128.6,134.77,127.24,119.19
2010Q4,126.94,133.8,124.19,119.33
2010Q3,124.44,130.82,121.33,118.36
2010Q2,122.27,129.45,118.23,116.84
2010Q1,122.04,129.48,117.41,117.37
2009Q4,118.44,124.52,114.92,113.9
2009Q3,116.13,120.51,113.16,113.49
2009Q2,115.9,119.5,113.72,112.96
2009Q1,115.06,118.75,113.45,110.84
2008Q4,113.81,116.22,112.3,111.56
2008Q3,111.87,114.75,110.64,108.3
2008Q2,112.3,114.76,111.42,108.71
2008Q1,111.7,116.61,109.21,107.18
2007Q4,111.29,114.48,108.23,110.94
2007Q3,110.25,114.04,107.25,108.77
2007Q2,107.08,110.13,104.82,105.53
2007Q1,104.97,106.09,103.88,104.72
2006Q4,103.59,104.64,103.28,101.83
2006Q3,102.07,103.56,100.85,101.36
2006Q2,101.96,102.76,101.07,102.14
2006Q1,100,100,100,100
2005Q4,101.99,,,
2005Q3,102.51,,,
2005Q2,102.51,,,
2005Q1,100.35,,,
2004Q4,97.59,,,
2004Q3,100.32,,,
2004Q2,96.36,,,
2004Q1,96.95,,,
2003Q4,98.69,,,
2003Q3,94.91,,,
2003Q2,96.12,,,
2003Q1,95.11,,,
2002Q4,93.38,,,
2002Q3,92.44,,,
2002Q2,93.15,,,
2002Q1,94.21,,,
2001Q4,93.38,,,
2001Q3,94.46,,,
2001Q2,93.76,,,
2001Q1,93.64,,,
2000Q4,91.96,,,
2000Q3,90.23,,,
2000Q2,91.53,,,
2000Q1,90.88,,,
1999Q4,90.43,,,
1999Q3,91.82,,,
1999Q2,90.08,,,
1999Q1,91.69,,,
1998Q4,91.02,,,
1998Q3,92.13,,,
1998Q2,91.05,,,
1998Q1,89.82,,,
1997Q4,90.84,,,
1997Q3,92.69,,,
1997Q2,93.49,,,
1997Q1,98.51,,,
1996Q4,96.45,,,
1996Q3,96.06,,,
1996Q2,96.91,,,
1996Q1,96.4,,,
1995Q4,102.37,,,
1995Q3,102.02,,,
1995Q2,102.46,,,
1995Q1,103.48,,,
1994Q4,107.17,,,
1994Q3,107.78,,,
1994Q2,106.45,,,
1994Q1,104.98,,,
1993Q4,103.78,,,
1993Q3,104.1,,,
1993Q2,104.49,,,
1993Q1,103.77,,,
1992Q4,104.82,,,
1992Q3,114.85,,,
1992Q2,108.33,,,
1992Q1,107.91,,,
1991Q4,111.69,,,
1991Q3,109.91,,,
1991Q2,114.18,,,
1991Q1,108.45,,,
1990Q4,117.42,,,
1990Q3,110.22,,,
1990Q2,119.92,,,
1990Q1,115.16,,,
1989Q4,106.44,,,
1989Q3,107.44,,,
1989Q2,100.68,,,
1989Q1,103.43,,,
1988Q4,93.86,,,
1988Q3,95.5,,,
1988Q2,90.86,,,
1988Q1,91.55,,,
1987Q4,81.04,,,
1987Q3,85.46,,,
1987Q2,80.07,,,
1987Q1,79.49,,,
1986Q4,76.22,,,
1986Q3,76.27,,,
1986Q2,69.85,,,
1986Q1,71.35,,,
1985Q4,73.41,,,
1985Q3,73.06,,,
1985Q2,69.55,,,
1985Q1,68.03,,,
1984Q4,66.98,,,
1984Q3,63.88,,,
1984Q2,70.17,,,
1984Q1,70.19,,,
1983Q4,67.67,,,
1983Q3,60.54,,,
1983Q2,62.51,,,
1983Q1,64.31,,,
1982Q4,62.5,,,
1982Q3,61.02,,,
1982Q2,59.41,,,
1982Q1,56.81,,,
1981Q4,53.89,,,
1981Q3,54.44,,,
1981Q2,57.52,,,
1981Q1,57.11,,,
1980Q4,55.15,,,
1980Q3,50.82,,,
1980Q2,50.04,,,
1980Q1,51.29,,,